manager_id,house_id
m1,h1
m2,h2
m3,h2
m2,h2
m4,h2
m5,h2
m6,h2
m7,h2
m4,h2
m8,h2
m9,h2
m10,h2
m11,h2
m10,h2
m2,h2
m3,h2
m3,h2
m3,h2
m6,h2
m5,h2
m8,h2
m12,h2
m4,h2
m13,h3
m14,h3
m15,h3
m15,h3
m16,h3
m17,h3
m18,h3
m19,h3
m19,h3
m20,h3
m21,h4
m22,h4
m23,h4
m24,h4
m25,h4
m23,h4
m23,h4
m21,h4
m21,h4
m24,h4
m22,h4
m26,h5
m26,h5
m27,h5
m27,h5
m26,h5
m28,h6
m29,h6
m30,h6
m31,h6
m30,h6
m32,h7
m33,h8
m34,h8
m35,h8
m34,h8
m36,h8
m34,h8
m35,h8
m37,h9
m38,h10
m39,h10
m39,h10
m38,h10
m40,h10
m41,h10
m42,h10
m43,h10
m43,h10
m43,h10
m44,h10
m42,h10
m45,h11
m46,h11
m47,h11
m48,h11
m46,h11
m47,h11
m49,h11
m50,h12
m50,h12
m51,h12
m51,h12
m50,h12
m50,h12
m52,h12
m53,h12
m54,h12
m55,h12
m53,h12
m52,h12
m56,h13
m57,h13
m57,h13
m58,h14
m59,h14
m60,h14
m60,h14
m60,h14
m61,h14
m61,h14
m62,h14
m63,h14
m64,h14
m58,h14
m59,h14
m61,h14
m64,h14
m65,h14
m66,h15
m67,h15
m67,h15
m68,h15
m66,h15
m69,h15
m68,h15
m69,h15
m70,h15
m70,h15
m71,h15
m66,h15
m71,h15
m72,h7
m32,h7
m73,h7
m32,h7
m32,h7
m32,h7
m32,h7
m74,h7
m75,h7
m75,h7
m76,h7
m73,h7
m77,h7
m78,h7
m79,h7
m80,h7
m77,h7
m80,h7
m81,h7
m74,h7
m72,h7
m32,h7
m32,h7
m32,h7
m32,h7
m32,h7
m32,h7
m32,h7
m32,h7
m32,h7
m78,h7
m78,h7
m82,h7
m83,h7
m77,h7
m78,h7
m78,h7
m84,h16
m85,h16
m85,h16
m85,h16
m84,h16
m84,h16
m86,h16
m87,h16
m88,h16
m89,h17
m90,h17
m91,h18
m92,h18
m93,h18
m91,h18
m92,h18
m94,h19
m95,h19
m96,h19
m96,h19
m95,h19
m97,h19
m98,h19
m96,h19
m99,h19
m94,h19
m94,h19
m100,h19
m100,h19
m101,h20
m102,h20
m102,h20
m103,h20
m104,h20
m104,h20
m101,h20
m101,h20
m105,h20
m105,h20
m106,h20
m103,h20
m102,h20
m102,h20
m102,h20
m102,h20
m104,h20
m107,h21
m107,h21
m107,h21
m108,h21
m109,h21
m110,h22
m111,h22
m112,h22
m113,h22
m111,h22
m114,h22
m114,h22
m115,h22
m115,h22
m116,h23
m116,h23
m117,h23
m116,h23
m118,h23
m119,h23
m119,h23
m119,h23
m119,h23
m119,h23
m119,h23
m119,h23
m120,h24
m120,h24
m120,h24
m121,h9
m122,h9
m123,h9
m123,h9
m123,h9
m123,h9
m37,h9
m37,h9
m37,h9
m37,h9
m37,h9
m123,h9
m124,h9
m122,h9
m123,h9
m123,h9
m125,h9
m123,h9
m126,h9
m127,h9
m127,h9
m128,h9
m129,h9
m130,h9
m131,h25
m131,h25
m132,h26
m133,h26
m133,h26
m132,h26
m134,h27
m135,h27
m134,h27
m136,h27
m135,h27
m137,h28
m137,h28
m137,h28
m138,h28
m139,h28
m138,h28
m138,h28
m137,h28
m140,h28
m138,h28
m141,h28
m142,h28
m143,h28
m142,h28
m144,h28
m137,h28
m137,h28
m137,h28
m137,h28
m140,h28
m141,h28
m145,h28
m146,h29
m146,h29
m147,h30
m148,h30
m149,h30
m150,h30
m148,h30
m148,h30
m150,h30
m149,h30
m148,h30
m151,h30
m151,h30
m152,h31
m153,h31
m154,h31
m155,h31
m156,h31
m153,h31
m154,h31
m157,h31
m158,h31
m156,h31
m156,h31
m159,h31
m160,h31
m152,h31
m152,h31
m160,h31
m157,h31
m159,h31
m153,h31
m161,h32
m161,h32
m161,h32
m161,h32
m161,h32
m161,h32
m161,h32
m50,h12
m162,h33
m163,h33
m164,h33
m164,h33
m164,h33
m165,h33
m165,h33
m162,h33
m166,h34
m166,h34
m167,h34
m168,h34
m168,h34
m169,h34
m170,h34
m171,h34
m172,h34
m173,h34
m174,h34
m172,h34
m166,h34
m166,h34
m166,h34
m166,h34
m167,h34
m168,h34
m175,h1
m175,h1
m176,h2
m177,h2
m178,h2
m179,h2
m176,h2
m179,h2
m177,h2
m177,h2
m178,h2
m180,h2
m176,h2
m177,h2
m177,h2
m181,h3
m182,h3
m183,h3
m182,h3
m181,h3
m181,h3
m181,h3
m183,h3
m181,h3
m184,h3
m185,h4
m186,h4
m186,h4
m186,h4
m185,h4
m187,h4
m186,h4
m188,h4
m186,h4
m188,h4
m188,h4
m185,h4
m189,h4
m188,h4
m26,h5
m190,h5
m190,h5
m190,h5
m191,h6
m191,h6
m191,h6
m191,h6
m191,h6
m191,h6
m191,h6
m191,h6
m192,h11
m192,h11
m193,h11
m193,h11
m194,h8
m194,h8
m194,h8
m194,h8
m194,h8
m194,h8
m194,h8
m194,h8
m194,h8
m194,h8
m195,h10
m196,h10
m197,h10
m198,h10
m196,h10
m196,h10
m196,h10
m196,h10
m199,h10
m196,h10
m192,h11
m200,h11
m201,h11
m202,h12
m202,h12
m203,h12
m202,h12
m203,h12
m204,h12
m205,h13
m205,h13
m205,h13
m206,h14
m207,h14
m208,h14
m206,h14
m208,h14
m208,h14
m207,h14
m207,h14
m208,h14
m209,h14
m206,h14
m206,h14
m210,h15
m211,h15
m212,h15
m212,h15
m213,h15
m211,h15
m212,h15
m211,h15
m213,h15
m211,h15
m213,h15
m214,h7
m214,h7
m214,h7
m214,h7
m215,h7
m214,h7
m82,h7
m82,h7
m214,h7
m215,h7
m214,h7
m82,h7
m82,h7
m214,h7
m214,h7
m216,h16
m216,h16
m216,h16
m216,h16
m216,h16
m216,h16
m217,h16
m216,h16
m218,h17
m219,h18
m219,h18
m219,h18
m219,h18
m220,h19
m221,h19
m221,h19
m220,h19
m220,h19
m221,h19
m220,h19
m220,h19
m220,h19
m220,h19
m220,h19
m220,h19
m222,h20
m223,h20
m155,h20
m222,h20
m222,h20
m155,h20
m224,h21
m224,h21
m224,h21
m224,h21
m225,h22
m226,h22
m226,h22
m227,h22
m227,h22
m228,h23
m228,h23
m229,h24
m230,h9
m231,h9
m232,h9
m230,h9
m230,h9
m233,h9
m230,h9
m233,h9
m231,h9
m232,h9
m231,h9
m233,h9
m230,h9
m233,h9
m232,h9
m231,h9
m234,h25
m235,h26
m235,h26
m235,h26
m235,h26
m235,h26
m236,h27
m236,h27
m237,h28
m238,h28
m239,h28
m240,h28
m238,h28
m241,h28
m240,h28
m239,h28
m240,h28
m242,h28
m238,h28
m243,h28
m244,h30
m244,h30
m244,h30
m244,h30
m244,h30
m244,h30
m244,h30
m244,h30
m245,h31
m245,h31
m245,h31
m246,h31
m246,h31
m247,h33
m248,h33
m248,h33
m249,h34
m249,h34
m250,h34
m251,h34
m251,h34
m252,h34
m249,h34
m250,h34
m250,h34
m252,h34
m249,h34
m249,h34
